Fecha,Año,Mes,Nombre_Mes,Trimestre,Dia_Semana,Nombre_Dia,Semana_Año,Es_Fin_Semana
2023-11-09,2023,11,November,Q4,4,Thursday,45,0
2023-11-10,2023,11,November,Q4,5,Friday,45,0
2023-11-11,2023,11,November,Q4,6,Saturday,45,1
2023-11-12,2023,11,November,Q4,7,Sunday,45,1
2023-11-13,2023,11,November,Q4,1,Monday,46,0
2023-11-14,2023,11,November,Q4,2,Tuesday,46,0
2023-11-15,2023,11,November,Q4,3,Wednesday,46,0
2023-11-16,2023,11,November,Q4,4,Thursday,46,0
2023-11-17,2023,11,November,Q4,5,Friday,46,0
2023-11-18,2023,11,November,Q4,6,Saturday,46,1
2023-11-19,2023,11,November,Q4,7,Sunday,46,1
2023-11-20,2023,11,November,Q4,1,Monday,47,0
2023-11-21,2023,11,November,Q4,2,Tuesday,47,0
2023-11-22,2023,11,November,Q4,3,Wednesday,47,0
2023-11-23,2023,11,November,Q4,4,Thursday,47,0
2023-11-24,2023,11,November,Q4,5,Friday,47,0
2023-11-25,2023,11,November,Q4,6,Saturday,47,1
2023-11-26,2023,11,November,Q4,7,Sunday,47,1
2023-11-27,2023,11,November,Q4,1,Monday,48,0
2023-11-28,2023,11,November,Q4,2,Tuesday,48,0
2023-11-29,2023,11,November,Q4,3,Wednesday,48,0
2023-11-30,2023,11,November,Q4,4,Thursday,48,0
2023-12-01,2023,12,December,Q4,5,Friday,48,0
2023-12-02,2023,12,December,Q4,6,Saturday,48,1
2023-12-03,2023,12,December,Q4,7,Sunday,48,1
2023-12-04,2023,12,December,Q4,1,Monday,49,0
2023-12-05,2023,12,December,Q4,2,Tuesday,49,0
2023-12-06,2023,12,December,Q4,3,Wednesday,49,0
2023-12-07,2023,12,December,Q4,4,Thursday,49,0
2023-12-08,2023,12,December,Q4,5,Friday,49,0
2023-12-09,2023,12,December,Q4,6,Saturday,49,1
2023-12-10,2023,12,December,Q4,7,Sunday,49,1
